# log10(M200c)[Msun] log10(<sigmaDM>)[km/s] log10(sigmaDM)+ log10(sigmaDM)- log10(sigmaDM)++ log10(sigmaDM)-- log10(sigmaDM)+++ log10(sigmaDM)--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
3.162277660168379297e+13 3.356649463137411544e+02 3.355484862147345666e+02 3.357912241325473133e+02 3.354330790522357120e+02 3.359098840059684790e+02 3.352934302963095661e+02 3.360479442260747760e+02 3.098416800305604513e-01 3.093061148983168862e-01 3.103410439244110863e-01 3.087589787785038897e-01 3.108596689386531331e-01 3.083369455313951235e-01 3.112773932018065848e-01 4.876735508592938001e-02 4.836226923781233866e-02 4.914465338571601810e-02 4.794413567432281170e-02 4.946996727926049331e-02 4.756830708571185840e-02 4.975930465638992578e-02
3.981071705534969531e+13 3.607938331735205679e+02 3.606489277081872160e+02 3.609353112635965317e+02 3.604932037059948016e+02 3.610732499000612847e+02 3.603297936449556005e+02 3.612253797768850632e+02 3.115743724231601064e-01 3.110738878357014459e-01 3.120793961724012133e-01 3.106352961771952081e-01 3.125011175810316066e-01 3.103336643208502998e-01 3.129522001060199843e-01 4.810195863660404747e-02 4.772717878072598591e-02 4.850686483830529694e-02 4.740272949013384779e-02 4.893444835729305470e-02 4.713325656319961726e-02 4.915866441354473787e-02
5.011872336272714844e+13 3.880448360889556625e+02 3.878613148958502279e+02 3.882336872159631866e+02 3.876563847565986975e+02 3.884026005804958572e+02 3.875382140293065163e+02 3.885777657683624398e+02 3.135553776933338588e-01 3.130732614908657840e-01 3.140542182086553669e-01 3.126322654510401144e-01 3.145568222590207630e-01 3.123237871160303714e-01 3.149937035667884078e-01 4.746284540862906465e-02 4.707523197107529866e-02 4.785255488935790530e-02 4.669167683530818513e-02 4.826846357784430469e-02 4.628464573689032580e-02 4.867213129849030928e-02
6.309573444801917188e+13 4.176261154112233385e+02 4.174065357608617433e+02 4.178543089073129408e+02 4.171946861385814032e+02 4.180627738624077665e+02 4.170765863682833015e+02 4.183408072050804094e+02 3.157226484212126705e-01 3.152357181663838492e-01 3.162395890693567302e-01 3.147375643407893664e-01 3.167906502295552151e-01 3.142823928738309736e-01 3.170513699977280941e-01 4.676610505811078233e-02 4.636154191484343629e-02 4.716263580141443618e-02 4.598696765791437241e-02 4.768146040259394619e-02 4.567902933983648828e-02 4.825641956517752462e-02
7.943282347242789062e+13 4.498007355848694715e+02 4.495264053018500476e+02 4.500906840168825624e+02 4.492711710032641577e+02 4.504031154086179072e+02 4.490377809086548382e+02 4.506601856884259973e+02 3.181033979721074600e-01 3.175214531513705363e-01 3.186926960093922623e-01 3.169553569309597196e-01 3.192186919805867773e-01 3.165828299078699004e-01 3.197661796288159830e-01 4.611485372850603059e-02 4.569000753480832039e-02 4.657370862212932561e-02 4.527636468652410096e-02 4.697071986787137998e-02 4.481001043164280911e-02 4.745388709935299126e-02
9.999999999999959375e+13 4.848472863184374546e+02 4.845049949491478287e+02 4.851619342593260171e+02 4.841591248028600489e+02 4.855007181364554185e+02 4.839079850863045067e+02 4.858983418599163429e+02 3.206770911115058853e-01 3.200983869941321225e-01 3.212762896100259669e-01 3.195201082632774803e-01 3.218419818273313138e-01 3.189778470648494402e-01 3.226051555027960038e-01 4.560582415192012545e-02 4.513700273779113620e-02 4.604218178986788784e-02 4.473355616776152760e-02 4.650708175269973460e-02 4.429611263614038896e-02 4.699153345871669857e-02
1.258925411794161094e+14 5.229914390532617290e+02 5.225905844409039673e+02 5.234460928533759443e+02 5.222407873538431886e+02 5.239120937084556999e+02 5.218423163956191502e+02 5.244756664291725201e+02 3.234427978474795906e-01 3.228101025941971791e-01 3.240839724213995798e-01 3.222396540962781941e-01 3.247596122211494629e-01 3.215207895518701897e-01 3.253267880241981214e-01 4.513302625281568475e-02 4.469612824604348583e-02 4.564603378847337245e-02 4.416386943941350701e-02 4.618076161721752088e-02 4.375848107075671484e-02 4.673679006836278793e-02
1.584893192461104375e+14 5.646287932682145083e+02 5.640605492973650144e+02 5.651561869107240454e+02 5.635015330617372911e+02 5.656873111224128934e+02 5.630147989679597913e+02 5.662588781535213229e+02 3.263374420642284335e-01 3.255408475302694615e-01 3.270505633655955702e-01 3.247333439638493413e-01 3.278300769881055121e-01 3.236944085081306932e-01 3.285784638903379573e-01 4.487049878486536886e-02 4.433955138318970007e-02 4.544648998709332338e-02 4.375386494380326813e-02 4.612673645230461889e-02 4.313124648824877283e-02 4.667125032144187058e-02
1.995262314968866562e+14 6.098428389657634625e+02 6.092223215182356171e+02 6.105304005220070849e+02 6.086065653564160129e+02 6.111908452516419175e+02 6.080094830159125650e+02 6.116641996640761363e+02 3.290395661665429516e-01 3.281318490203138372e-01 3.298596451620456893e-01 3.274234855015519807e-01 3.307125412850658863e-01 3.264566845734302447e-01 3.313562588937911668e-01 4.458939922972082748e-02 4.401544822782974681e-02 4.526067886300676191e-02 4.341620218878271958e-02 4.587697375768370195e-02 4.300606782018012719e-02 4.657207593374219218e-02
2.511886431509561562e+14 6.589458834747490528e+02 6.581235263936650881e+02 6.597275378234772916e+02 6.574125930624387593e+02 6.605279758595992234e+02 6.565125596175071223e+02 6.611282242696124740e+02 3.312395136294906117e-01 3.302800211568411859e-01 3.322481069930834918e-01 3.292800991848042202e-01 3.331238843336208899e-01 3.282325660415802426e-01 3.339489134012459948e-01 4.447589503729938720e-02 4.374042576431188406e-02 4.523999689334243235e-02 4.314809916432496562e-02 4.610034303508323689e-02 4.238626534281030034e-02 4.695507823447817725e-02
