# log10(M200c)[Msun] log10(<sigmaDM>)[km/s] log10(sigmaDM)+ log10(sigmaDM)- log10(sigmaDM)++ log10(sigmaDM)-- log10(sigmaDM)+++ log10(sigmaDM)--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
3.162277660168379297e+13 3.070748268589488816e+02 3.069524300176447582e+02 3.071969780051861676e+02 3.068236465498671919e+02 3.073117378899077607e+02 3.067228538275102778e+02 3.074317939222624432e+02 3.264805476401029249e-01 3.259091001130249299e-01 3.270530688409348241e-01 3.253280732759255001e-01 3.275595349388941147e-01 3.247695396130044765e-01 3.279386178090379356e-01 4.057867180603289686e-02 4.012519278776022907e-02 4.106586855203329944e-02 3.969158157259927017e-02 4.153610334461568798e-02 3.920424826305989041e-02 4.198756557253983945e-02
3.981071705534969531e+13 3.311383914471571188e+02 3.309920049006177010e+02 3.312941074247804067e+02 3.308431900782726416e+02 3.314638768433343330e+02 3.307209854783949368e+02 3.316178766805106761e+02 3.270559065262964582e-01 3.265439114070186055e-01 3.276103283403016264e-01 3.260169971275997391e-01 3.281031573176474980e-01 3.255099796414488433e-01 3.288773270354805600e-01 4.043131054918643053e-02 3.997708780851134958e-02 4.092402626681131139e-02 3.953826259820233946e-02 4.140361342070798811e-02 3.932928494264677916e-02 4.204849497494867611e-02
5.011872336272714844e+13 3.571622026039885895e+02 3.569661046993387572e+02 3.573594195114197305e+02 3.567915896530059854e+02 3.575091807079711543e+02 3.565708840400667441e+02 3.577344167953897909e+02 3.276881932393665986e-01 3.271094466709693616e-01 3.282671090303360684e-01 3.266109932017653428e-01 3.287541148360458299e-01 3.261003196265045423e-01 3.292005812388604236e-01 4.037415481950393931e-02 3.988685895021577832e-02 4.086002331956298250e-02 3.945952445607431303e-02 4.139146765875276884e-02 3.898284755162007703e-02 4.183213327301364692e-02
6.309573444801917188e+13 3.853038265384741408e+02 3.850650178516470987e+02 3.855619997049122958e+02 3.848495084839741480e+02 3.857897858192535523e+02 3.846725403579690692e+02 3.859707702797786624e+02 3.284009431383629884e-01 3.277764895114141375e-01 3.289880541337908415e-01 3.272719390184508637e-01 3.295569220933083354e-01 3.267748974353984481e-01 3.301347585114468020e-01 4.023259637812655332e-02 3.980787172263908213e-02 4.075837970639011737e-02 3.927038140323298177e-02 4.123701489203170784e-02 3.894912641978657414e-02 4.164291045795968926e-02
7.943282347242789062e+13 4.157906860840078025e+02 4.154869318574497470e+02 4.160874251718187224e+02 4.151460638397087450e+02 4.163846471609462014e+02 4.149745349512256780e+02 4.166277234382449137e+02 3.292175897346716340e-01 3.285635450619938114e-01 3.298544059278944451e-01 3.279340534949358732e-01 3.305556102470879054e-01 3.270368498950036451e-01 3.310843657079705071e-01 4.018750736403384899e-02 3.964730160928852526e-02 4.073278800203691125e-02 3.914557368672118287e-02 4.121205330358126973e-02 3.831890335324084768e-02 4.163719528372879231e-02
9.999999999999959375e+13 4.488137882546038213e+02 4.484190976080407722e+02 4.492013773029855201e+02 4.481022897580152176e+02 4.495388402813096604e+02 4.476719116368832942e+02 4.498598086318571063e+02 3.301635691315931709e-01 3.294388307507218339e-01 3.309086994195176712e-01 3.287797560840589051e-01 3.315938837959563901e-01 3.278798256268897759e-01 3.321457383531850605e-01 4.007149747476024954e-02 3.951028371371728687e-02 4.062353814809019359e-02 3.898216337222931011e-02 4.114318608561325780e-02 3.838948000279308881e-02 4.153497548567684772e-02
1.258925411794161094e+14 4.845764120280590532e+02 4.841329868514715713e+02 4.850695307952556163e+02 4.837453993176788458e+02 4.854906396839066360e+02 4.834024479769329332e+02 4.860317254329782486e+02 3.311339436679910930e-01 3.303562405003356850e-01 3.319724910697404163e-01 3.295977278377104080e-01 3.327044649514722119e-01 3.286939663045581606e-01 3.336400379211698075e-01 3.999197863822016169e-02 3.935740155050870825e-02 4.065705020499851829e-02 3.883427825844080333e-02 4.131962072810701353e-02 3.832660011662290811e-02 4.189151230762505618e-02
1.584893192461104375e+14 5.233690788044557394e+02 5.228029610060162895e+02 5.239540891152472568e+02 5.221891954486667373e+02 5.246230821184473143e+02 5.216638268770345803e+02 5.254847569610644769e+02 3.321911252125083758e-01 3.312501959491020442e-01 3.331158564307155068e-01 3.304399811750659555e-01 3.340013540483610655e-01 3.294192295936235748e-01 3.350879189072559772e-01 3.987718168057762663e-02 3.920205660160461930e-02 4.061997265693986087e-02 3.859782145178303897e-02 4.129336045327777066e-02 3.813555899960709844e-02 4.187966513027689686e-02
1.995262314968866562e+14 5.654635615382410379e+02 5.647131889346148910e+02 5.662187405095321537e+02 5.639747615644004100e+02 5.669909947890758986e+02 5.630728145222956300e+02 5.675692469379760041e+02 3.332874931665542051e-01 3.322336862655719258e-01 3.343529365892779492e-01 3.310972972681657245e-01 3.355101950423445278e-01 3.302769271365852966e-01 3.362817083209701519e-01 3.977890992856597530e-02 3.899258645339764850e-02 4.050482188091811958e-02 3.839102075240150708e-02 4.138019957246365232e-02 3.777078077283132357e-02 4.208643905591247236e-02
2.511886431509561562e+14 6.110230698108466640e+02 6.100602166223594622e+02 6.120992782299202872e+02 6.091371116102076257e+02 6.131152021163190966e+02 6.083156664787347836e+02 6.138449026041294019e+02 3.343007672653446338e-01 3.331024906635392524e-01 3.356422620857812955e-01 3.318080336494891314e-01 3.370007061926935665e-01 3.304977661607056416e-01 3.378816495963210542e-01 3.954116021451972024e-02 3.877205903412780930e-02 4.042222085134405257e-02 3.799920253384427710e-02 4.123836522413553557e-02 3.734740653592207721e-02 4.213917136912789102e-02
3.162277660168353750e+14 6.606569035182774314e+02 6.592669124522651600e+02 6.618564205740133275e+02 6.579493582035256622e+02 6.631582669785180997e+02 6.564981834479275449e+02 6.643893150349755388e+02 3.355252656091979313e-01 3.338919717171220380e-01 3.370391425384638429e-01 3.323565172692046210e-01 3.384344125881000864e-01 3.311395391159078772e-01 3.398807101196921199e-01 3.941446855149884770e-02 3.848536947472448039e-02 4.028573077668919783e-02 3.759028396413417739e-02 4.119598929115596275e-02 3.646988799001097542e-02 4.187945057543440708e-02
3.981071705534936875e+14 7.142283271598817009e+02 7.125108001645679678e+02 7.159082101212303542e+02 7.109451484681759439e+02 7.175558780033392168e+02 7.093131241953747121e+02 7.187443993349152151e+02 3.364819500159743071e-01 3.345469011317531161e-01 3.382191818121852434e-01 3.328909184966847290e-01 3.401080683661101278e-01 3.312110845358676170e-01 3.417120313024559763e-01 3.914458453217926209e-02 3.814725540644436225e-02 4.012180088707456571e-02 3.713413338245455386e-02 4.100650001416442092e-02 3.625964363245899602e-02 4.176204265237372371e-02
5.011872336272673750e+14 7.726038812152983155e+02 7.704949346203312643e+02 7.747913461916174356e+02 7.682547254826633889e+02 7.767452332866644156e+02 7.664233953391138812e+02 7.784797800509518311e+02 3.378081674171521387e-01 3.356432642597184657e-01 3.398094317049542012e-01 3.331790847664687916e-01 3.420419852361615276e-01 3.312405516354234303e-01 3.443117532628099386e-01 3.880069967157970950e-02 3.769981157364329233e-02 3.981680160520189443e-02 3.666392412177704035e-02 4.087880412288751042e-02 3.544785928088561855e-02 4.155854365376172171e-02
6.309573444801865000e+14 8.363015623735313966e+02 8.331377359156776947e+02 8.390827509634402759e+02 8.297495145746466960e+02 8.415907358563473508e+02 8.261566806568073389e+02 8.445686530732747315e+02 3.392622574204143815e-01 3.364672183198782474e-01 3.417852383389019533e-01 3.334018488538711966e-01 3.444824222258566215e-01 3.300737541181258949e-01 3.465950018161407797e-01 3.841373263025312651e-02 3.720857027825071051e-02 3.959236485177897169e-02 3.601890421877980419e-02 4.087154439607651457e-02 3.490990209015669421e-02 4.246693562589867049e-02
7.943282347242723750e+14 9.055983571583932417e+02 9.012807455115796529e+02 9.098064777525200952e+02 8.974414964569751874e+02 9.136408200412242877e+02 8.916950504687475814e+02 9.188976676558100962e+02 3.409252415306277539e-01 3.374027077708832700e-01 3.443158767258074904e-01 3.336972111422005227e-01 3.475853018398575300e-01 3.295802865818190375e-01 3.508785600613677502e-01 3.797422346879683608e-02 3.655349166114540277e-02 3.942171718313303153e-02 3.532969383219031201e-02 4.075002227836553581e-02 3.433521509601900751e-02 4.219962996142402611e-02
9.999999999999877500e+14 9.811112137441394907e+02 9.755086321088584782e+02 9.870660462450796331e+02 9.690736351639894792e+02 9.925691177574952917e+02 9.605693323627291420e+02 9.996178192443852595e+02 3.424115864084445460e-01 3.384514062277433899e-01 3.465082559159733955e-01 3.339604950072859180e-01 3.503670345353819826e-01 3.298900643289879864e-01 3.548111237239393034e-01 3.765540043128668551e-02 3.595945781398642016e-02 3.951996064971855654e-02 3.432852766019242607e-02 4.113070170688813698e-02 3.278848177973676253e-02 4.337341294968526800e-02
1.258925411794150750e+15 1.063677103227621501e+03 1.055534710483126219e+03 1.070903204237731643e+03 1.046032097224339168e+03 1.077762314304886331e+03 1.040794360213210439e+03 1.082965134487720206e+03 3.444016512917681960e-01 3.391555149646293676e-01 3.488116754854534984e-01 3.330321613271425840e-01 3.527404095927590966e-01 3.293604590205996829e-01 3.569739331912804570e-01 3.720706253567048621e-02 3.521685326232688873e-02 3.943497030551851301e-02 3.331188077949089055e-02 4.129568157094276604e-02 3.153956290005514862e-02 4.391719003469340271e-02
1.584893192461091500e+15 1.154071369125576439e+03 1.142699727304831868e+03 1.163426736680299655e+03 1.132658359292415753e+03 1.173311842430642628e+03 1.120645661227882783e+03 1.180927882734824152e+03 3.460412170174902435e-01 3.402497387280796204e-01 3.511951888558483281e-01 3.334060142331001231e-01 3.551185708953615294e-01 3.278083965723269655e-01 3.607047267049201533e-01 3.674023100681859250e-02 3.408413117384930663e-02 3.935288893901735252e-02 3.160789441097113656e-02 4.177168144175190390e-02 2.951351224229507506e-02 4.478204444482924984e-02
1.995262314968850250e+15 1.252511024437084416e+03 1.240366407448723521e+03 1.264056486898186904e+03 1.223261627562523472e+03 1.274577105871500862e+03 1.211352142952837994e+03 1.295240416002026905e+03 3.482166669635563538e-01 3.426039203504978037e-01 3.532586793907457889e-01 3.340450206393594801e-01 3.583456287601149981e-01 3.256078923914772494e-01 3.654338688441733929e-01 3.614988551145163764e-02 3.327195659157546059e-02 3.926768274999836716e-02 3.043610966320452541e-02 4.197344994103330978e-02 2.735455772548217937e-02 4.488929788880084704e-02
2.511886431509541000e+15 1.362213306972767896e+03 1.346047666397568719e+03 1.374875612800852196e+03 1.325351474516136250e+03 1.390846934898747122e+03 1.300104274673627287e+03 1.411718848038552778e+03 3.505942472488671191e-01 3.447550718869943354e-01 3.554890795970510609e-01 3.350642057711866739e-01 3.620594913290546280e-01 3.229718469454742058e-01 3.683954409028116217e-01 3.526628462043155526e-02 3.166373684812524847e-02 3.914579312889440721e-02 2.822843146444410298e-02 4.198342407023547551e-02 2.543861928680178630e-02 4.490707766650070543e-02
