# log10(M200c)[Msun] log10(<sigmaDM>)[km/s] log10(sigmaDM)+ log10(sigmaDM)- log10(sigmaDM)++ log10(sigmaDM)-- log10(sigmaDM)+++ log10(sigmaDM)--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
3.162277660168379297e+13 3.299001782377443988e+02 3.295544474136112854e+02 3.302219331239225539e+02 3.292400414939691586e+02 3.305209072411216198e+02 3.289112547815662992e+02 3.307937004539778627e+02 3.227623582823287429e-01 3.215242663949668400e-01 3.241668028600816487e-01 3.200618231445306883e-01 3.256114455849276612e-01 3.189658663881267397e-01 3.272785398122813327e-01 4.498765920115042893e-02 4.432077032404647954e-02 4.574181535406126459e-02 4.361290248210799442e-02 4.651381925488056596e-02 4.293372205951979936e-02 4.719214574918221411e-02
3.981071705534969531e+13 3.554926405920937782e+02 3.550939995414061627e+02 3.558569224481531705e+02 3.547432426953349704e+02 3.562258141507030018e+02 3.543233841952118155e+02 3.565535318774781217e+02 3.238060253024678259e-01 3.223611679392010543e-01 3.250500289946998689e-01 3.209826082789324908e-01 3.262300002570094892e-01 3.201057617171564340e-01 3.278408561481683803e-01 4.491183099814229085e-02 4.409166351945299767e-02 4.567308797824408406e-02 4.337712273715074035e-02 4.643637218480603512e-02 4.244381845531459280e-02 4.752147857298953670e-02
5.011872336272714844e+13 3.832731447175224844e+02 3.827954652385681129e+02 3.838161362793384797e+02 3.823205391618303679e+02 3.843516731360858216e+02 3.818032139346143481e+02 3.847247487275325284e+02 3.250804530904166101e-01 3.237982972334995657e-01 3.264635106905742767e-01 3.224306372313431868e-01 3.279172605448879563e-01 3.214010132122461227e-01 3.289075055717831653e-01 4.481599688571821782e-02 4.401701712067740413e-02 4.569908609497279339e-02 4.319068556031960271e-02 4.655430723615915783e-02 4.239746200455975916e-02 4.722281534322748942e-02
6.309573444801917188e+13 4.134625475671662684e+02 4.128250342596693940e+02 4.141271691205514571e+02 4.121697767776515775e+02 4.147840451182051424e+02 4.115276085379639426e+02 4.153464725053810866e+02 3.267914298048741339e-01 3.252933785401126432e-01 3.282639452357728471e-01 3.239383784016651169e-01 3.297458061267555252e-01 3.225601319056257132e-01 3.309507018202624828e-01 4.470137992223220669e-02 4.377819110531589591e-02 4.556897410684098565e-02 4.299231920349025349e-02 4.644258372462770068e-02 4.222788151506209203e-02 4.765684787958399116e-02
7.943282347242789062e+13 4.463586924684237260e+02 4.455132621803544453e+02 4.471027070835894506e+02 4.447920704020228868e+02 4.478510389963697094e+02 4.436268304123349822e+02 4.483710682868985486e+02 3.287350860918106243e-01 3.271667260173454217e-01 3.304433549692265548e-01 3.255404625378435779e-01 3.317392300106665193e-01 3.237728819091445498e-01 3.330795453801513872e-01 4.444085785043768583e-02 4.351410723265466268e-02 4.544442276917955159e-02 4.242541776609080884e-02 4.636945168514390592e-02 4.175180826996497535e-02 4.724430557714714984e-02
9.999999999999959375e+13 4.821738867754008879e+02 4.812540757576803117e+02 4.831392415549042312e+02 4.803282839124768202e+02 4.841243683989881106e+02 4.794392629464059610e+02 4.850610640802637477e+02 3.309444245215338865e-01 3.293091506232551646e-01 3.326289033170545806e-01 3.276018455396908502e-01 3.343231391796994689e-01 3.255968764052171727e-01 3.354768927755186203e-01 4.402544011782322936e-02 4.298557372517317066e-02 4.522549159989122658e-02 4.185223855528578951e-02 4.627643779534405810e-02 4.106357068218011164e-02 4.747063411938715755e-02
1.258925411794161094e+14 5.211058594630299012e+02 5.198862535049422604e+02 5.223252732702998173e+02 5.187292589333261503e+02 5.234944128750975096e+02 5.178086015074941315e+02 5.248964979881325235e+02 3.329335149587282494e-01 3.309164217918574291e-01 3.348695678239025919e-01 3.290760576811687654e-01 3.366085477662225101e-01 3.276948967618971142e-01 3.386728844915046777e-01 4.359977195146272355e-02 4.239988524724991326e-02 4.490860802053869144e-02 4.116693404520522376e-02 4.612283588573150989e-02 4.040568766758790425e-02 4.688137178443574360e-02
1.584893192461104375e+14 5.635759819365943031e+02 5.619685307962735124e+02 5.651688073370353322e+02 5.606359968102178755e+02 5.665311540869757891e+02 5.596065956555625007e+02 5.681957571084174106e+02 3.351482209832784553e-01 3.326990107427772458e-01 3.374963730689329866e-01 3.308958264016408912e-01 3.394595973474492934e-01 3.292963817519887759e-01 3.415528720375560212e-01 4.298205441488757439e-02 4.164839876028268717e-02 4.439861650078043981e-02 4.030804645328118357e-02 4.559494071716903990e-02 3.948310677037134703e-02 4.723447402943210804e-02
1.995262314968866562e+14 6.099895087030688501e+02 6.078457976662023157e+02 6.119779551972461604e+02 6.058889830478406111e+02 6.139121171954545844e+02 6.034563367226251103e+02 6.159849232545337827e+02 3.373607716696351289e-01 3.345507334568817992e-01 3.400289987540480729e-01 3.318573031014223074e-01 3.427850186769988428e-01 3.290488667540577561e-01 3.461452343538843346e-01 4.235774547274363117e-02 4.091838948901934531e-02 4.389973902685237461e-02 3.974033934710123617e-02 4.524647648713288339e-02 3.878948777346973714e-02 4.660702856781444997e-02
2.511886431509561562e+14 6.605774416867567425e+02 6.577848468540403246e+02 6.634238969754231903e+02 6.549745062691757767e+02 6.661876438248317527e+02 6.520162530820779239e+02 6.689693163445397204e+02 3.396731698139995870e-01 3.365637053564409231e-01 3.432013908762550636e-01 3.326790703594033061e-01 3.470325325968124930e-01 3.293567349047166193e-01 3.498262816980900469e-01 4.180186084721165124e-02 4.015777010962121724e-02 4.340187834909093462e-02 3.887056811551404395e-02 4.507985248033381798e-02 3.727714068541355952e-02 4.659470107702935043e-02
