# log10(M200c)[Msun] log10(<sigmaDM>)[km/s] log10(sigmaDM)+ log10(sigmaDM)- log10(sigmaDM)++ log10(sigmaDM)-- log10(sigmaDM)+++ log10(sigmaDM)--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
3.162277660168379297e+13 3.132128315598241102e+02 3.125822976171570531e+02 3.138079677375617962e+02 3.120995800598008714e+02 3.143999982670204076e+02 3.115318351102072825e+02 3.150185085785809065e+02 3.000656849838070905e-01 2.970775616766688776e-01 3.027445689966111186e-01 2.944040165265335851e-01 3.056145959719380745e-01 2.916369769153974723e-01 3.084547691946855630e-01 1.628830155255140411e-01 1.585954269274419959e-01 1.666686566544399728e-01 1.548905119740798808e-01 1.704032549483324444e-01 1.507167926590813611e-01 1.732093131076067882e-01
3.981071705534969531e+13 3.358941564138960985e+02 3.352577481427540533e+02 3.366105494801428790e+02 3.346843231141219803e+02 3.372639224149379515e+02 3.342134346790888344e+02 3.377861428965164805e+02 3.024456332560797600e-01 3.000861041430245568e-01 3.049989273556227842e-01 2.976535394434238202e-01 3.072062938767753382e-01 2.952533556468002751e-01 3.087983558293224129e-01 1.550807449874820332e-01 1.512180244429648102e-01 1.591188222668866448e-01 1.477283123636886630e-01 1.633267392063263157e-01 1.435612800159414837e-01 1.684431624280597894e-01
5.011872336272714844e+13 3.606393225105462079e+02 3.599544865380281067e+02 3.613771161966986938e+02 3.593002565232092707e+02 3.620570287757685151e+02 3.586469996883727163e+02 3.628190645836377257e+02 3.055471448974707016e-01 3.033623581314187079e-01 3.078615756878545495e-01 3.007960152685663635e-01 3.101255861186922869e-01 2.993051332616465943e-01 3.122574175079961822e-01 1.468755942672312353e-01 1.429327103409576971e-01 1.506050944668254343e-01 1.394535919848899908e-01 1.542773958175497617e-01 1.361108622171113558e-01 1.588018715885180787e-01
6.309573444801917188e+13 3.874765282169933585e+02 3.866786463109782517e+02 3.882695760889293410e+02 3.858987705505934969e+02 3.889718239915436016e+02 3.852364224031506978e+02 3.902338951064651837e+02 3.085264764944765092e-01 3.063554785168619010e-01 3.107561880561545697e-01 3.042752208686554938e-01 3.124986226065870620e-01 3.025177411875478173e-01 3.146470562759451362e-01 1.375640440052064428e-01 1.337290558768690352e-01 1.416060165713120822e-01 1.306985680398546346e-01 1.449855557927397509e-01 1.276980714933218519e-01 1.490942347792413303e-01
7.943282347242789062e+13 4.167330567431412192e+02 4.157997800431378437e+02 4.175851979273589905e+02 4.148735011282862502e+02 4.186503154500724122e+02 4.142589700569612319e+02 4.193844655458791522e+02 3.116226904986276747e-01 3.094830039195150539e-01 3.138121466310732632e-01 3.076283720310000747e-01 3.161054062246236862e-01 3.049771374212655317e-01 3.195564507797226117e-01 1.288016084805430062e-01 1.246777542983445869e-01 1.328799888305371435e-01 1.199987573980677569e-01 1.370123285670816760e-01 1.166483768606267624e-01 1.403195131213926528e-01
9.999999999999959375e+13 4.483306938176884842e+02 4.473085618098754139e+02 4.493121623797693474e+02 4.463432016967686877e+02 4.502289573913195682e+02 4.452226991789465842e+02 4.510254006285751416e+02 3.144992544801678003e-01 3.123307917691506286e-01 3.165523060280809320e-01 3.098146504251561573e-01 3.184668667856584978e-01 3.077487914070845543e-01 3.203992247517249981e-01 1.199971522355069847e-01 1.160095298548611820e-01 1.240081775045517309e-01 1.124655083225624269e-01 1.276714066406142989e-01 1.076151378087533278e-01 1.313901222660983081e-01
1.258925411794161094e+14 4.826096992088391744e+02 4.815515870821014914e+02 4.837336228506548537e+02 4.806286328442932358e+02 4.850072596050479206e+02 4.796812182872079120e+02 4.861090499888756540e+02 3.167581916481289062e-01 3.146699575793022174e-01 3.190866501269184474e-01 3.123915172251951478e-01 3.213625619462229799e-01 3.103272663568441558e-01 3.236267539720844022e-01 1.116673914511045612e-01 1.081410841756849373e-01 1.154862789274435919e-01 1.044468415329769528e-01 1.194724948479169574e-01 1.016394038921732829e-01 1.232758113771419695e-01
1.584893192461104375e+14 5.198941857829270248e+02 5.186491138976722368e+02 5.211150391029755156e+02 5.174281370252937222e+02 5.224419022744983749e+02 5.160593021111769758e+02 5.238856612763920566e+02 3.191641238818507254e-01 3.169099760011755418e-01 3.215178737779716411e-01 3.146648770683662111e-01 3.236803548262758290e-01 3.125669162082664321e-01 3.265295494778083230e-01 1.044414164811050538e-01 1.006596855151686981e-01 1.084610745145063726e-01 9.688978706418889530e-02 1.123829427710305445e-01 9.306164799703006696e-02 1.152325203926009151e-01
1.995262314968866562e+14 5.601129411811790533e+02 5.587278244281235402e+02 5.617137601893192596e+02 5.574055299713558043e+02 5.634775488992821693e+02 5.564821067861975052e+02 5.652343236963316713e+02 3.211301789730203748e-01 3.189621043801557088e-01 3.235082972976560112e-01 3.169409884987707260e-01 3.261085806577747048e-01 3.151753457514566703e-01 3.275141326995015811e-01 9.772320107057057281e-02 9.355543485732187303e-02 1.020796762219001036e-01 8.942920220607479542e-02 1.065086946509217342e-01 8.468832636273655734e-02 1.105155847761501303e-01
2.511886431509561562e+14 6.038379921248925939e+02 6.024591846766992376e+02 6.054337798660217231e+02 6.010692079466261930e+02 6.069005438676450694e+02 5.996287083833964289e+02 6.084700182069742596e+02 3.234998402147593044e-01 3.214972759904790034e-01 3.253061468768466136e-01 3.194543980453974363e-01 3.276303820726571003e-01 3.179488952122002665e-01 3.291261376184940746e-01 9.103394812904117006e-02 8.714607898927954899e-02 9.555745378702266979e-02 8.250738727835026098e-02 1.001432379490785479e-01 8.008035176546206280e-02 1.042045275519443148e-01
3.162277660168353750e+14 6.514033473075809297e+02 6.497017198004364218e+02 6.528527191191720931e+02 6.482312961249479031e+02 6.545393463308239461e+02 6.473265186654684840e+02 6.558953691874113474e+02 3.253668538969466395e-01 3.237494911850034573e-01 3.270391965202551487e-01 3.220545608407106575e-01 3.287997103074963845e-01 3.205170836074701657e-01 3.303107008161420555e-01 8.494120387856120280e-02 8.040010713217649041e-02 9.020602994011493736e-02 7.589233255066567263e-02 9.462337517384766805e-02 7.171405309548978257e-02 9.816016070641506164e-02
3.981071705534936875e+14 7.024123031799358614e+02 7.009279151329444630e+02 7.041351695517649887e+02 6.993266585344545092e+02 7.056561550818072419e+02 6.980834994627007291e+02 7.070802416730440427e+02 3.268343376794939359e-01 3.250052045643748722e-01 3.286288912042958366e-01 3.230286410281949516e-01 3.301137616387497808e-01 3.216474136699575270e-01 3.322417756619672757e-01 7.786646072989664158e-02 7.293585103189373364e-02 8.289813924425490366e-02 6.850151641989897511e-02 8.723101689752028876e-02 6.570863561346876325e-02 9.136277184919365524e-02
5.011872336272673750e+14 7.576386382366802081e+02 7.561343282005454967e+02 7.592557278565457182e+02 7.546872656815991149e+02 7.608709514065317308e+02 7.531166678939246140e+02 7.630473584237845444e+02 3.280901628731168751e-01 3.261694134597813433e-01 3.299621938464963877e-01 3.242017726334802119e-01 3.315817764365553422e-01 3.215488267738740857e-01 3.338860167809129531e-01 7.037119922897348834e-02 6.580757825327118726e-02 7.434524259423956616e-02 6.143384481534708286e-02 7.894378208072791447e-02 5.875013520052394661e-02 8.473097934719010793e-02
