# Redshift log10(MStarSat_Threshold)[msun] <norm>[dex] norm+ norm- norm++ norm-- norm+++ norm--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
0.000000000000000000e+00 9.499999999999996447e+00 2.706460700389994312e+00 2.707074157702657580e+00 2.705902311349287714e+00 2.707604060393248968e+00 2.705397081220988209e+00 2.707964202824904465e+00 2.704472611033585938e+00 3.499324109857959719e-01 3.510097665847185522e-01 3.488793247864097613e-01 3.520749425453575943e-01 3.479230400872110329e-01 3.529575013435906072e-01 3.468899172211007964e-01 9.590073207405898359e-02 9.741692937034876487e-02 9.436738890250433165e-02 9.873137488991870492e-02 9.268131553102816611e-02 1.004148117723013128e-01 9.132140247728261218e-02
0.000000000000000000e+00 9.699999999999995737e+00 2.704512002284127359e+00 2.705151985534752335e+00 2.703897475005481610e+00 2.705663751794332050e+00 2.703325749181952897e+00 2.706154407188716249e+00 2.702832673307001166e+00 3.512587801589350800e-01 3.522886848564767415e-01 3.500792162154741094e-01 3.532930380271435133e-01 3.491126273108110523e-01 3.546106341171860188e-01 3.480849229581662874e-01 9.760030246529405318e-02 9.927894205701350006e-02 9.585252665778856707e-02 1.009566917326363555e-01 9.380722243228439838e-02 1.025078351407161387e-01 9.194081718639851575e-02
0.000000000000000000e+00 9.899999999999995026e+00 2.702467943674700113e+00 2.703089830853570241e+00 2.701893524124448387e+00 2.703706825255927093e+00 2.701227423849092979e+00 2.704468547891888619e+00 2.700569149786793410e+00 3.529384978244087812e-01 3.540237279614489863e-01 3.518304407288201929e-01 3.550883816317463859e-01 3.507735834122897578e-01 3.567912377525441214e-01 3.497838801936050679e-01 9.861133373689787152e-02 1.004549850485955131e-01 9.703358081582119654e-02 1.021106258970989056e-01 9.571896132995115491e-02 1.033524577362806146e-01 9.429594746040902142e-02
0.000000000000000000e+00 9.999999999999994671e+00 2.701710716172855964e+00 2.702393071778820044e+00 2.701077833785604732e+00 2.703030569879552480e+00 2.700425650380195108e+00 2.703949439557119749e+00 2.699755544482494773e+00 3.541297345111682482e-01 3.552756779904342466e-01 3.529997696692243059e-01 3.565189842438354351e-01 3.518357657698194529e-01 3.574273791256631361e-01 3.507594811911673993e-01 9.846360583742008732e-02 1.005099499117653034e-01 9.652849906363913934e-02 1.018925440554565715e-01 9.456702972320636669e-02 1.030828617774056932e-01 8.815534052496322437e-02
0.000000000000000000e+00 1.009999999999999432e+01 2.701013705624967010e+00 2.701658254620554089e+00 2.700366604556128536e+00 2.702291327302676294e+00 2.699694598631017239e+00 2.702852598936213990e+00 2.699000491663478662e+00 3.553602003823341793e-01 3.565026692743106240e-01 3.541754853766104216e-01 3.575881828353493219e-01 3.530749664197552207e-01 3.584279088814652514e-01 3.520732690917648400e-01 9.914061969367585214e-02 1.011267226975617328e-01 9.713222898314857745e-02 1.030667523947103453e-01 9.502139927666987396e-02 1.044080253632895944e-01 9.185355849821529028e-02
0.000000000000000000e+00 1.019999999999999396e+01 2.700207550193169048e+00 2.700923937503417971e+00 2.699506556129110280e+00 2.701599083962588743e+00 2.698918238580480633e+00 2.702322643052011308e+00 2.698216973266631680e+00 3.567004067617707275e-01 3.578988845559384901e-01 3.554754894322496028e-01 3.589735717609217058e-01 3.543460286498024137e-01 3.601632698967537904e-01 3.533123447190354982e-01 9.932049908032559993e-02 1.012068713819455623e-01 9.736321162377417626e-02 1.029947660414012589e-01 9.533850902019180840e-02 1.050289756114491935e-01 8.719993202859248338e-02
0.000000000000000000e+00 1.029999999999999361e+01 2.699264066348809887e+00 2.700010659548533365e+00 2.698503332114162934e+00 2.700751393952129487e+00 2.697718330449290658e+00 2.701358210459756659e+00 2.696532588055050361e+00 3.575269557280091881e-01 3.587234058722878483e-01 3.563547715088839496e-01 3.599236900208602208e-01 3.551560702067146358e-01 3.608790349419987997e-01 3.538326611077749484e-01 9.902074314388208121e-02 1.015304779085256376e-01 9.651096879214998703e-02 1.036060889748525171e-01 9.430404506518919039e-02 1.064992687785507736e-01 8.679864230078489229e-02
0.000000000000000000e+00 1.039999999999999325e+01 2.697486070257956392e+00 2.698235280828868987e+00 2.696730475195674881e+00 2.698998373690607355e+00 2.695987090323637592e+00 2.699990562122724924e+00 2.695037509304791357e+00 3.591226410231795896e-01 3.604109123414237503e-01 3.578346365709430543e-01 3.616178601047068120e-01 3.566344334386500337e-01 3.629316268375485377e-01 3.557812947834859685e-01 1.001851783076025959e-01 1.024690867405415456e-01 9.719625848791517420e-02 1.049812050957733556e-01 9.330387094702079220e-02 1.072285147865620347e-01 8.949856143924685148e-02
0.000000000000000000e+00 1.049999999999999289e+01 2.695116966577121076e+00 2.695987076780166358e+00 2.694209532152695541e+00 2.696847915154096054e+00 2.693212765421704180e+00 2.698072420488331957e+00 2.692290883284161218e+00 3.601159623791982956e-01 3.615306950354215676e-01 3.586593504282717948e-01 3.628525521868664061e-01 3.573197132628074257e-01 3.639086643494202633e-01 3.558673673198451404e-01 9.900640964568396818e-02 1.018939082340373503e-01 9.594813305181830454e-02 1.049094883717140159e-01 9.001173638225246076e-02 1.070373061546655430e-01 7.858284148113979517e-02
0.000000000000000000e+00 1.059999999999999254e+01 2.691613423056979926e+00 2.692621596982367915e+00 2.690701122600658302e+00 2.693641985333652844e+00 2.689864370583264552e+00 2.694625895613517841e+00 2.688622634887981810e+00 3.611933850686332992e-01 3.626954496396480598e-01 3.598198434986350502e-01 3.640847361759503298e-01 3.584596408265401379e-01 3.654646273813282886e-01 3.571335576397489109e-01 9.942553474927048884e-02 1.030341949298690385e-01 9.551521991268374645e-02 1.064389619022599182e-01 8.236094085865006131e-02 1.085186537586316502e-01 7.188759126115022713e-02
