# Redshift log10(MStarSat_Threshold)[msun] <norm>[dex] norm+ norm- norm++ norm-- norm+++ norm--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
6.634019100000000668e-02 8.500000000000000000e+00 2.689824021631977757e+00 2.690692670251660701e+00 2.688983455226819252e+00 2.691540909769709167e+00 2.688177954942422954e+00 2.692111943075754077e+00 2.687264790245553758e+00 3.561608171599983663e-01 3.583179895901180134e-01 3.539818494133762372e-01 3.604523392456059905e-01 3.517136437295665385e-01 3.628543070554024474e-01 3.498832503151929063e-01 9.723505983395622221e-02 9.935155381166675681e-02 9.510056740625869032e-02 1.012232874336660426e-01 9.281303025661846728e-02 1.032043469572412886e-01 9.068007266333691363e-02
6.634019100000000668e-02 8.699999999999999289e+00 2.689554009920805733e+00 2.690428166955819211e+00 2.688647036048378514e+00 2.691343130302966014e+00 2.687879484184769296e+00 2.692170951307397697e+00 2.687031033284974502e+00 3.559295440293053225e-01 3.582045335921933416e-01 3.535544214623757009e-01 3.605233101794833028e-01 3.513953557319555721e-01 3.626149830771198124e-01 3.490142642406329765e-01 9.802342777557276898e-02 1.000407440502108225e-01 9.571271003359849150e-02 1.019874447074656382e-01 9.355291149688362007e-02 1.040760101272373006e-01 9.165028201073160963e-02
6.634019100000000668e-02 8.899999999999998579e+00 2.689414079270030733e+00 2.690301246000724511e+00 2.688457909611325469e+00 2.691141696442080899e+00 2.687637389206191330e+00 2.692129838030903777e+00 2.686720003105221632e+00 3.557345671855394187e-01 3.578870935976007917e-01 3.534348707486369423e-01 3.600922771949793821e-01 3.512559306031460826e-01 3.618185482692814481e-01 3.492709285984325063e-01 9.830969193121853744e-02 1.002834448527714084e-01 9.615147269704445165e-02 1.022857068965950661e-01 9.414952434615875276e-02 1.046934501075836021e-01 9.232695412477208430e-02
6.634019100000000668e-02 8.999999999999998224e+00 2.689399728584481508e+00 2.690303367055700612e+00 2.688564170090253835e+00 2.691168323921705241e+00 2.687700714345029773e+00 2.692100711129378876e+00 2.687052552714406239e+00 3.550506472083370113e-01 3.573173542410029158e-01 3.527256693616970251e-01 3.596021972571538661e-01 3.506383007605370916e-01 3.617196690425896755e-01 3.484694189249205598e-01 9.822889879010240910e-02 1.003761145201063909e-01 9.613427142504844813e-02 1.022059223911212233e-01 9.419658552740667323e-02 1.059314644312940729e-01 8.963648333237995980e-02
6.634019100000000668e-02 9.199999999999997513e+00 2.689327006390103136e+00 2.690197854974470282e+00 2.688463475263108027e+00 2.691020199403642454e+00 2.687607484849668715e+00 2.691815460620949896e+00 2.687049576333377487e+00 3.554641361896515583e-01 3.577162522234303976e-01 3.530204460823681001e-01 3.597851659347511277e-01 3.511222205281915865e-01 3.613680045830693910e-01 3.490802161275032844e-01 9.771433105701457511e-02 9.989858151626530847e-02 9.539234194313291060e-02 1.017044409482326106e-01 9.294317704400702207e-02 1.035559318268045870e-01 9.018953729864727376e-02
6.634019100000000668e-02 9.399999999999996803e+00 2.688271558097326874e+00 2.689219989512555031e+00 2.687427007069792317e+00 2.690099733746337929e+00 2.686509051426407169e+00 2.691117163234816978e+00 2.685436716760218889e+00 3.546708954996635743e-01 3.569742064674956694e-01 3.524065480651306093e-01 3.592581075506741106e-01 3.497664597963061617e-01 3.610562043624087059e-01 3.468819150258777850e-01 9.738508017735875155e-02 9.975646140870242373e-02 9.518251656179513298e-02 1.018072522739361663e-01 9.284541346214685020e-02 1.039446319415913145e-01 8.987643629697153469e-02
6.634019100000000668e-02 9.499999999999996447e+00 2.687445964482404470e+00 2.688389670105216567e+00 2.686557768350456232e+00 2.689208251377355197e+00 2.685591639570597877e+00 2.690281822302833525e+00 2.684703989123731649e+00 3.540045534827451768e-01 3.564155218385218205e-01 3.516474237225818977e-01 3.589822401067730984e-01 3.494918922764212454e-01 3.608947974847210305e-01 3.474639697051625231e-01 9.754136385720532654e-02 1.002074058787084804e-01 9.489871041654250605e-02 1.025113491556878115e-01 9.295049788917464362e-02 1.043892907336198966e-01 9.129193293341751614e-02
6.634019100000000668e-02 9.699999999999995737e+00 2.685076988399423215e+00 2.686016838055364619e+00 2.684103986736944059e+00 2.686893805385635492e+00 2.683141474944826577e+00 2.687952146071500348e+00 2.682188259132376018e+00 3.526520355563012021e-01 3.550497436030941034e-01 3.503078472241957231e-01 3.573371170214804660e-01 3.479943824374379657e-01 3.590982764117512382e-01 3.455318121864583425e-01 9.924338124716144960e-02 1.015438206191760506e-01 9.669732351413502791e-02 1.036229051271516793e-01 9.406464768141273303e-02 1.054306802368143309e-01 9.195250476202851408e-02
6.634019100000000668e-02 9.899999999999995026e+00 2.682337557247861604e+00 2.683405039027225936e+00 2.681302898655917755e+00 2.684378591538147507e+00 2.680332348022656408e+00 2.685457205772337375e+00 2.679425384025237999e+00 3.515200875081569976e-01 3.543178450558683856e-01 3.489302636964543014e-01 3.569256655091696540e-01 3.463369037046476473e-01 3.588345862488697136e-01 3.442597341051206183e-01 1.025644042436357900e-01 1.049974898717429689e-01 9.981004811790072928e-02 1.079510728108023093e-01 9.641622189891309314e-02 1.097018460627816466e-01 9.389657524115575804e-02
6.634019100000000668e-02 9.999999999999994671e+00 2.681515542107729466e+00 2.682533397207038650e+00 2.680463771586973909e+00 2.683636514464723177e+00 2.679395064613346644e+00 2.684592466017079460e+00 2.678654044953007407e+00 3.518064968992318242e-01 3.546642057108542190e-01 3.491649205831771630e-01 3.573633822954132011e-01 3.466771840510006752e-01 3.599299809008293383e-01 3.436399894990927462e-01 1.028856834722889080e-01 1.058911418531526399e-01 9.923598479215055279e-02 1.082615872478507324e-01 9.488572859243020463e-02 1.114473408462424292e-01 9.200944850574523104e-02
