# Redshift log10(MStarSat_Threshold)[msun] <norm>[dex] norm+ norm- norm++ norm-- norm+++ norm--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
0.000000000000000000e+00 8.500000000000000000e+00 2.695271054301607627e+00 2.696734761095598287e+00 2.693922877781416148e+00 2.698270321296545760e+00 2.692477391839389611e+00 2.699620958427025208e+00 2.691325159382585763e+00 3.452891220567411157e-01 3.491285040824274044e-01 3.417175749922565231e-01 3.523963494987213951e-01 3.383742494143267554e-01 3.564695119470480678e-01 3.351819777014772295e-01 9.054084415008005482e-02 9.358731528463593019e-02 8.766857533332914065e-02 9.679878173141992503e-02 8.517192249293606410e-02 9.994688001833325341e-02 8.296514719036879315e-02
0.000000000000000000e+00 8.699999999999999289e+00 2.692691252607129826e+00 2.694063939510074057e+00 2.691303553205957044e+00 2.695439902079674876e+00 2.689962518262814850e+00 2.696874106876701482e+00 2.688159969269523941e+00 3.463577813483986745e-01 3.499503414869494233e-01 3.426929067196284873e-01 3.537683274982340587e-01 3.389968404907707233e-01 3.564419011016628502e-01 3.360105968713186231e-01 9.091652312126884128e-02 9.438595097113929022e-02 8.739350959681324582e-02 9.800860209686670932e-02 8.392881620114789332e-02 1.023267324217347202e-01 8.151921370865801431e-02
0.000000000000000000e+00 8.899999999999998579e+00 2.690338222113088928e+00 2.691897444932883410e+00 2.688819386388019872e+00 2.693403552210302809e+00 2.687296680021594941e+00 2.694615147183449189e+00 2.685684332089482318e+00 3.479330138778979897e-01 3.519306489225233481e-01 3.437523461752170495e-01 3.554175049720237900e-01 3.397293834162540271e-01 3.585175487377229575e-01 3.354425915494482768e-01 9.445230130124632195e-02 9.826619089015922737e-02 9.086326804973911264e-02 1.018774097032057457e-01 8.761602860930850500e-02 1.061130087356030316e-01 8.354362164776645006e-02
0.000000000000000000e+00 8.999999999999998224e+00 2.689379286582603612e+00 2.691034529367840378e+00 2.687824012896190329e+00 2.692408309155755575e+00 2.686221498652270334e+00 2.693935269651773545e+00 2.684845467972358790e+00 3.477752665618594197e-01 3.518138271154148677e-01 3.440959091213305898e-01 3.557993459009336501e-01 3.397846152581693313e-01 3.592820367456550090e-01 3.352014797044177707e-01 9.562404139976940498e-02 9.893859003680488540e-02 9.244449741741174453e-02 1.019273782697682762e-01 8.887361729877031602e-02 1.048872741350628662e-01 8.596643613051545285e-02
0.000000000000000000e+00 9.199999999999997513e+00 2.686665027065100464e+00 2.688448108524403857e+00 2.685131101871580661e+00 2.689947910778638374e+00 2.683598357642656307e+00 2.691158893508959871e+00 2.682259642896346552e+00 3.493326986495370878e-01 3.534801259851149680e-01 3.451976156627039050e-01 3.573375206198569076e-01 3.408096535001932659e-01 3.616876973707806586e-01 3.354835850347350767e-01 9.627679833413078925e-02 1.002135743547613450e-01 9.227880978682329038e-02 1.034693491692822570e-01 8.932081525648929987e-02 1.069196535571550338e-01 8.708112770250098222e-02
0.000000000000000000e+00 9.399999999999996803e+00 2.685006116453810598e+00 2.686714135728441200e+00 2.683289705876121367e+00 2.688225103432766439e+00 2.681792594779556893e+00 2.690009467166957435e+00 2.680295392358942319e+00 3.487915504790239929e-01 3.533598504499274595e-01 3.444991332377329574e-01 3.573497155537734837e-01 3.402511825040072102e-01 3.609712640288882390e-01 3.362336596668625277e-01 9.798585762043118819e-02 1.030764528072746905e-01 9.289422195456874254e-02 1.074320016070769157e-01 8.779194809750189010e-02 1.112229386342749177e-01 8.452283686682104946e-02
0.000000000000000000e+00 9.499999999999996447e+00 2.683705947089572774e+00 2.685398490727454401e+00 2.681852896864026281e+00 2.687166328644198465e+00 2.680020686749520209e+00 2.688647283427347823e+00 2.678162827087825271e+00 3.485124451192456174e-01 3.529076610002863656e-01 3.438946366439744051e-01 3.569904944163053706e-01 3.393425873459416930e-01 3.605006164031368532e-01 3.348097372351038770e-01 9.809812023223159205e-02 1.030915800023249757e-01 9.287543936796403832e-02 1.080292030494068439e-01 8.884432492576371798e-02 1.130942812925826574e-01 8.597545058877179014e-02
0.000000000000000000e+00 9.699999999999995737e+00 2.681041479388443172e+00 2.682816309069864236e+00 2.678994407302963232e+00 2.684776989473467879e+00 2.677212638845294368e+00 2.686503935593724801e+00 2.675695554399743603e+00 3.523751636687810773e-01 3.573160504269196069e-01 3.473960864927391756e-01 3.618693175634566384e-01 3.424867381590101512e-01 3.669137767978815634e-01 3.389439276069558526e-01 1.014113153939980583e-01 1.065828210484350003e-01 9.629102259208091596e-02 1.109552770418244377e-01 9.182967552426912761e-02 1.142290231319255667e-01 8.165188516696181287e-02
0.000000000000000000e+00 9.899999999999995026e+00 2.678929821580013027e+00 2.681070719504422328e+00 2.676853286868651427e+00 2.683076777252598077e+00 2.674997873451849362e+00 2.684198447039171764e+00 2.672880796434961681e+00 3.530316912456099576e-01 3.585692469126017801e-01 3.476631275368610718e-01 3.637606557865940005e-01 3.427710854793242223e-01 3.682100858804429055e-01 3.363931677595615177e-01 1.059055328424626657e-01 1.115469228555938941e-01 9.883130856691295374e-02 1.168407815844263592e-01 9.160021584060659694e-02 1.212384093969574445e-01 8.662600559447189430e-02
0.000000000000000000e+00 9.999999999999994671e+00 2.677229190240647760e+00 2.679528747417725842e+00 2.675226873132164229e+00 2.681717245632454727e+00 2.672956142183563699e+00 2.683299100281860472e+00 2.671202070615534829e+00 3.526202692929703009e-01 3.578987872192168074e-01 3.470345710853250942e-01 3.634623638573927229e-01 3.416117463051407954e-01 3.690241408320067973e-01 3.364946964919454109e-01 1.051200811425190146e-01 1.114469746493194635e-01 9.767396333741454328e-02 1.177440307666918901e-01 8.973571552978477917e-02 1.213819762840711303e-01 8.349029368504413962e-02
