# Redshift log10(MStarSat_Threshold)[msun] <norm>[dex] norm+ norm- norm++ norm-- norm+++ norm--- <slope> slope+ slope- slope++ slope-- slope+++ slope--- <scatter>[ln] scatter+ scatter- scatter++ scatter-- scatter+++ scatter---
0.000000000000000000e+00 8.999999999999998224e+00 2.697039418652621201e+00 2.698025423691922775e+00 2.696080630338702377e+00 2.699062242901134834e+00 2.695146554766087554e+00 2.699767151695907419e+00 2.694195326855249650e+00 3.466207012170263724e-01 3.483301267545936275e-01 3.449295019666256401e-01 3.499013862509406936e-01 3.433410228820479859e-01 3.513034250829680238e-01 3.420707625284782893e-01 1.345954334692924526e-01 1.368240294099203058e-01 1.322562494446770931e-01 1.391865559613952030e-01 1.301579694540105636e-01 1.408669075691836858e-01 1.264286322841050303e-01
0.000000000000000000e+00 9.199999999999997513e+00 2.697119172520999975e+00 2.698084289510970901e+00 2.696106637654354543e+00 2.699128700061188546e+00 2.695053670945751101e+00 2.700091882311100200e+00 2.694264144357902957e+00 3.466616050021209539e-01 3.483772923449197090e-01 3.449835884455735302e-01 3.499854018669415479e-01 3.434038165028002743e-01 3.515196599794946364e-01 3.418956980634678677e-01 1.342929736561842835e-01 1.366061109589512546e-01 1.320690525066087750e-01 1.389119822939568483e-01 1.298987585377595899e-01 1.414449737995782941e-01 1.264948940208745765e-01
0.000000000000000000e+00 9.399999999999996803e+00 2.696760395746866656e+00 2.697715458928423349e+00 2.695754525419396419e+00 2.698701001376014652e+00 2.694865371062270309e+00 2.699656589076571134e+00 2.693865341521368251e+00 3.464158842963549478e-01 3.481371214826470828e-01 3.446915248754944261e-01 3.499575372920290528e-01 3.429214047063852133e-01 3.511114398318003205e-01 3.414152024152690701e-01 1.357511155505650713e-01 1.380060281077971351e-01 1.333105803215081375e-01 1.403588877322220485e-01 1.310469872374788181e-01 1.424098941975906196e-01 1.283718416166482745e-01
0.000000000000000000e+00 9.499999999999996447e+00 2.696468390302163343e+00 2.697488630682562505e+00 2.695465696852235915e+00 2.698537396648807540e+00 2.694387013609358394e+00 2.699474837063482457e+00 2.693351860122546793e+00 3.461010792077867659e-01 3.478579618128339046e-01 3.444120607041353255e-01 3.496323527799920505e-01 3.428113410734545674e-01 3.514070466448687147e-01 3.409593644973606952e-01 1.363586245588433443e-01 1.386085257505414725e-01 1.341614990163313981e-01 1.410187622024134391e-01 1.319230509650091976e-01 1.434903878275431421e-01 1.301211850592312314e-01
0.000000000000000000e+00 9.699999999999995737e+00 2.694832067345690696e+00 2.695913850582455584e+00 2.693717155422428178e+00 2.697043294415120585e+00 2.692655139613752802e+00 2.697940528602643884e+00 2.691843935727123327e+00 3.464084293565072858e-01 3.482761984330770555e-01 3.444950518359489178e-01 3.499549730999380048e-01 3.426828689270280393e-01 3.514054031020333868e-01 3.409753221652192523e-01 1.364932965102531037e-01 1.390398595760930500e-01 1.341132141187472981e-01 1.415412561596144925e-01 1.319323882974424988e-01 1.447195428454946253e-01 1.297231617775841395e-01
0.000000000000000000e+00 9.899999999999995026e+00 2.693197402546727570e+00 2.694325396223153923e+00 2.692092926979719358e+00 2.695387975505291855e+00 2.690993637944866457e+00 2.696330284285453516e+00 2.690133746121983194e+00 3.469132948473174771e-01 3.487993844265488419e-01 3.450528372570279556e-01 3.506668618819483996e-01 3.434019727684852752e-01 3.523813129336982874e-01 3.417431929250908107e-01 1.381681413332133679e-01 1.406013143906732765e-01 1.355608571429423870e-01 1.432310155483060288e-01 1.329565932634740044e-01 1.457188642715990801e-01 1.304617648074614389e-01
0.000000000000000000e+00 9.999999999999994671e+00 2.693187402624528382e+00 2.694348609188769395e+00 2.691980524435243716e+00 2.695471285950356233e+00 2.690765619449394297e+00 2.696527464655730899e+00 2.689559464563444191e+00 3.463343517828354479e-01 3.483821224493792168e-01 3.444557896575616285e-01 3.501660911679110311e-01 3.425154732529340218e-01 3.518535872185593050e-01 3.404329510044295515e-01 1.392637269153617630e-01 1.418001724493033189e-01 1.368957746003547082e-01 1.443392881372963232e-01 1.345357315254779862e-01 1.459849730899821230e-01 1.317208758235947075e-01
0.000000000000000000e+00 1.009999999999999432e+01 2.692899070121921312e+00 2.694128551112623171e+00 2.691721758967311029e+00 2.695217427961970280e+00 2.690558457891084831e+00 2.696688406745039845e+00 2.689379386992822418e+00 3.465003994231641293e-01 3.483300209555343918e-01 3.445615556166755633e-01 3.501786099292930055e-01 3.427029763953070574e-01 3.522388605663163696e-01 3.406361553364838923e-01 1.382491904531835125e-01 1.409894846617345820e-01 1.355672271622325453e-01 1.440713168384500642e-01 1.329009678140019302e-01 1.474284915953270048e-01 1.294224873370625195e-01
0.000000000000000000e+00 1.019999999999999396e+01 2.694106967663095986e+00 2.695354372829247502e+00 2.692839268241689066e+00 2.696646851154000490e+00 2.691653894909528333e+00 2.697630296646182035e+00 2.690662954340681257e+00 3.449139567439152287e-01 3.469230201701977157e-01 3.429534283388055993e-01 3.487441374269937278e-01 3.409291713397042956e-01 3.503387043376142151e-01 3.392573189034819303e-01 1.381833837568149370e-01 1.409718166868139111e-01 1.352946059662912537e-01 1.438840060489217643e-01 1.325010464499126184e-01 1.470545737943866338e-01 1.295002975182655280e-01
0.000000000000000000e+00 1.029999999999999361e+01 2.695842080464223578e+00 2.697125333342626163e+00 2.694470934783566030e+00 2.698402589883441394e+00 2.693252163602150251e+00 2.699536836960407360e+00 2.692055502640513520e+00 3.436029600663204064e-01 3.457370412687906791e-01 3.415573299893711057e-01 3.477169985295520682e-01 3.396772678701051595e-01 3.495550821367634509e-01 3.379857961315712034e-01 1.360932040282831768e-01 1.389315990240802545e-01 1.332552705492523193e-01 1.418541246092083485e-01 1.302636306714087255e-01 1.446857222901266893e-01 1.280108068497960994e-01
