# Redshift log10(MStarSat_Threshold)[msun] log10(M200c)[msun] mean_velbias stddev_velbias
0.000000000000000000e+00 9.500000000000000000e+00 1.350000000000000000e+01 9.790002299280156084e-01 2.146661794470821824e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.359999999999999964e+01 9.863767968960779342e-01 1.994109220113257901e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.369999999999999929e+01 9.934032315143137559e-01 1.803432782288254353e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.379999999999999893e+01 9.999608640857238218e-01 1.654899412634737617e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.389999999999999858e+01 1.006121416760487497e+00 1.594364039132241092e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.399999999999999822e+01 1.011711456997741676e+00 1.512308628356060728e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.409999999999999787e+01 1.016794295411261428e+00 1.459407766800039936e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.419999999999999751e+01 1.021251215042469296e+00 1.422060382028262054e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.429999999999999716e+01 1.025215234832602684e+00 1.576326549752132128e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.439999999999999680e+01 1.028606855325310487e+00 1.743061936051037856e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.449999999999999645e+01 1.031394270704604876e+00 1.882834810892225659e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.459999999999999609e+01 1.033612594407639529e+00 2.086767237132823583e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.469999999999999574e+01 1.035428257083751857e+00 2.426739212037957311e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.479999999999999538e+01 1.036933788728418460e+00 2.526466251877382881e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.489999999999999503e+01 1.038531307591024966e+00 2.626560479796149431e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.499999999999999467e+01 1.040199662570482575e+00 3.014612895780881176e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.509999999999999432e+01 1.041831091983225877e+00 3.283899834757555460e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.519999999999999396e+01 1.043772485580151788e+00 3.776300362676329302e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.529999999999999361e+01 1.045939129316034499e+00 4.051151216238894209e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.539999999999999325e+01 1.047956800862106519e+00 4.707229784105508227e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.549999999999999289e+01 1.050844593640285707e+00 5.430464982609330138e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.559999999999999254e+01 1.052962894457585286e+00 6.124579267472701760e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.569999999999999218e+01 1.055216314094484353e+00 7.555693060458435611e-03
0.000000000000000000e+00 9.500000000000000000e+00 1.579999999999999183e+01 1.057372343286010929e+00 9.005281088411747070e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.350000000000000000e+01 9.723656008350876068e-01 2.221779545699297063e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.359999999999999964e+01 9.799980398977264917e-01 2.033558321839658203e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.369999999999999929e+01 9.872873096093436329e-01 1.872219645829514270e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.379999999999999893e+01 9.941149703748304312e-01 1.753256069817287063e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.389999999999999858e+01 1.000551807155239725e+00 1.653668219992208760e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.399999999999999822e+01 1.006425075415660508e+00 1.553993159244943661e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.409999999999999787e+01 1.011797299779486625e+00 1.543232520880701919e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.419999999999999751e+01 1.016549714706185270e+00 1.529066745991885384e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.429999999999999716e+01 1.020814068524366292e+00 1.599997752834692293e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.439999999999999680e+01 1.024510934885370483e+00 1.735192410120633836e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.449999999999999645e+01 1.027608132256657480e+00 1.907426050493549055e-03
0.000000000000000000e+00 9.699999999999999289e+00 1.459999999999999609e+01 1.030139928056858833e+00 2.109676457348602565e-03
