# Redshift log10(MStarSat_Threshold)[msun] log10(M200c)[msun] mean_velbias stddev_velbias
6.634019100000000668e-02 8.500000000000000000e+00 1.350000000000000000e+01 9.422913620361403897e-01 2.663088730591543947e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.359999999999999964e+01 9.485089205832581971e-01 2.328662229450740966e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.369999999999999929e+01 9.545257289001050083e-01 2.055314864356251863e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.379999999999999893e+01 9.604102533724928614e-01 1.827510547184127941e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.389999999999999858e+01 9.660774107266806299e-01 1.686671701582249591e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.399999999999999822e+01 9.714623157967553491e-01 1.800701677915805994e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.409999999999999787e+01 9.765798329590894555e-01 1.955331676770860096e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.419999999999999751e+01 9.814303697470465604e-01 2.271655580219572070e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.429999999999999716e+01 9.860433387557717699e-01 2.726277123151088326e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.439999999999999680e+01 9.903337520983546138e-01 3.060850884202210524e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.449999999999999645e+01 9.946978364571328335e-01 3.683305899101286911e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.459999999999999609e+01 9.984231431524337452e-01 4.233843051862261168e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.469999999999999574e+01 1.001723583257522421e+00 5.024703877724001275e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.479999999999999538e+01 1.004681853134972380e+00 5.683548385688670310e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.489999999999999503e+01 1.006996520359792369e+00 6.885973717304195302e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.499999999999999467e+01 1.008876790521357814e+00 8.139583157256371701e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.509999999999999432e+01 1.010213638089172861e+00 9.772355932173805090e-03
6.634019100000000668e-02 8.500000000000000000e+00 1.519999999999999396e+01 1.010618197366040638e+00 1.115808166673630010e-02
6.634019100000000668e-02 8.500000000000000000e+00 1.529999999999999361e+01 1.011471739213195775e+00 1.295114509324591170e-02
6.634019100000000668e-02 8.500000000000000000e+00 1.539999999999999325e+01 1.010639308586167795e+00 1.462523260324012642e-02
6.634019100000000668e-02 8.699999999999999289e+00 1.350000000000000000e+01 9.420364739732625114e-01 2.706225346480572568e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.359999999999999964e+01 9.482210149089908002e-01 2.354887867700163843e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.369999999999999929e+01 9.542043953996637295e-01 2.026159875943568580e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.379999999999999893e+01 9.600554319542503601e-01 1.877844734160643344e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.389999999999999858e+01 9.656886986050796651e-01 1.772292547572231012e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.399999999999999822e+01 9.710394565180553439e-01 1.906516349549631671e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.409999999999999787e+01 9.761228503566723447e-01 2.192496899474400719e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.419999999999999751e+01 9.809390780404031451e-01 2.602215735085203815e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.429999999999999716e+01 9.855172914493595115e-01 3.029161776765930923e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.439999999999999680e+01 9.897733840910662995e-01 3.512912274709247950e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.449999999999999645e+01 9.941022495812280590e-01 4.079578153147528884e-03
6.634019100000000668e-02 8.699999999999999289e+00 1.459999999999999609e+01 9.977929421722970815e-01 4.697930845065202178e-03
