# Redshift log10(MStarSat_Threshold)[msun] log10(M200c)[msun] mean_velbias stddev_velbias
0.000000000000000000e+00 8.500000000000000000e+00 1.350000000000000000e+01 9.757099651678209362e-01 4.606735970784117846e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.359999999999999964e+01 9.804815261515574809e-01 4.080986609175970073e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.369999999999999929e+01 9.846739889921102273e-01 3.623194731159335054e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.379999999999999893e+01 9.883417530520699490e-01 3.326915892073911869e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.389999999999999858e+01 9.914747510153814058e-01 3.206919883366043857e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.399999999999999822e+01 9.941659101197799497e-01 3.268986711620114165e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.409999999999999787e+01 9.962742320914136362e-01 3.551152834536318650e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.419999999999999751e+01 9.980782013719229351e-01 4.033665307837628299e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.429999999999999716e+01 9.992588468847283245e-01 4.701773476476551160e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.439999999999999680e+01 9.998586232661261786e-01 5.226564152792529880e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.449999999999999645e+01 9.996890057810835506e-01 6.113683759068132967e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.459999999999999609e+01 9.986201113017678654e-01 7.147795695264155466e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.469999999999999574e+01 9.963649563407792620e-01 8.022966278406335611e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.479999999999999538e+01 9.937633665474486788e-01 9.368232418833914374e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.489999999999999503e+01 9.903884637918817235e-01 9.857328163086993833e-03
0.000000000000000000e+00 8.500000000000000000e+00 1.499999999999999467e+01 9.866958459213110988e-01 1.094399972465432032e-02
0.000000000000000000e+00 8.500000000000000000e+00 1.509999999999999432e+01 9.832372155495817667e-01 1.225234824598485199e-02
0.000000000000000000e+00 8.500000000000000000e+00 1.519999999999999396e+01 9.798567135474062217e-01 1.375280273640363052e-02
0.000000000000000000e+00 8.699999999999999289e+00 1.350000000000000000e+01 9.689996879916130679e-01 5.122335790225343057e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.359999999999999964e+01 9.738445378496389804e-01 4.436342058282735645e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.369999999999999929e+01 9.781158186788652120e-01 3.915559145781904657e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.379999999999999893e+01 9.818666094182650905e-01 3.479541005442014084e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.389999999999999858e+01 9.850872435870072774e-01 3.289253091271579933e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.399999999999999822e+01 9.878695038997307165e-01 3.262132213786667675e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.409999999999999787e+01 9.900731015431410986e-01 3.443311048045643100e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.419999999999999751e+01 9.919743515877810225e-01 3.759558023002239954e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.429999999999999716e+01 9.932574336097284018e-01 4.534458593302308216e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.439999999999999680e+01 9.939643534453368456e-01 5.328526002022062301e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.449999999999999645e+01 9.939031610426476426e-01 5.867417489188690195e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.459999999999999609e+01 9.929507508473982558e-01 7.069914699113971635e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.469999999999999574e+01 9.908164296514333502e-01 7.815708107511401895e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.479999999999999538e+01 9.883369880022143672e-01 9.059280049424162096e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.489999999999999503e+01 9.850932502728393381e-01 9.997221639589153053e-03
0.000000000000000000e+00 8.699999999999999289e+00 1.499999999999999467e+01 9.815325148609818084e-01 1.142430184083868122e-02
0.000000000000000000e+00 8.699999999999999289e+00 1.509999999999999432e+01 9.781973368053099582e-01 1.248595107902146159e-02
0.000000000000000000e+00 8.699999999999999289e+00 1.519999999999999396e+01 9.749427051348011908e-01 1.402155480351910746e-02
0.000000000000000000e+00 8.900000000000000355e+00 1.350000000000000000e+01 9.612761936837851406e-01 5.459436142765661075e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.359999999999999964e+01 9.664557826854747180e-01 4.734092748632411779e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.369999999999999929e+01 9.710694307061810138e-01 4.056569491276848516e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.379999999999999893e+01 9.751705475998535544e-01 3.674639250663059697e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.389999999999999858e+01 9.787478698195506421e-01 3.508448552511415908e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.399999999999999822e+01 9.818922910029832529e-01 3.548789899963947225e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.409999999999999787e+01 9.844636267742323810e-01 3.778312691921640459e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.419999999999999751e+01 9.867365332432701530e-01 4.237486839866676583e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.429999999999999716e+01 9.883955022142957292e-01 4.994634654294178265e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.439999999999999680e+01 9.894819333450237675e-01 5.753929780758256299e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.449999999999999645e+01 9.898067445296455658e-01 6.686858493136204132e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.459999999999999609e+01 9.892393809784038039e-01 7.555870410272355273e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.469999999999999574e+01 9.874985530185975691e-01 8.663462994603660094e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.479999999999999538e+01 9.854095868887923215e-01 9.888181143039060858e-03
0.000000000000000000e+00 8.900000000000000355e+00 1.489999999999999503e+01 9.825600271402962216e-01 1.114750902872462153e-02
0.000000000000000000e+00 8.900000000000000355e+00 1.499999999999999467e+01 9.793864918689555443e-01 1.237001924263700196e-02
0.000000000000000000e+00 8.900000000000000355e+00 1.509999999999999432e+01 9.764358124867060784e-01 1.330743226212792625e-02
0.000000000000000000e+00 8.900000000000000355e+00 1.519999999999999396e+01 9.735633418942638562e-01 1.473056092388505892e-02
0.000000000000000000e+00 9.000000000000000000e+00 1.350000000000000000e+01 9.592338793325064783e-01 5.613206653105771646e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.359999999999999964e+01 9.644343410656094351e-01 4.897972282786586251e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.369999999999999929e+01 9.690704346862444307e-01 4.245429104552371317e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.379999999999999893e+01 9.731951126469546853e-01 3.821937335293420276e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.389999999999999858e+01 9.767968958016040038e-01 3.480901373176537202e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.399999999999999822e+01 9.799674213845199766e-01 3.491414969667110905e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.409999999999999787e+01 9.825663819294960799e-01 3.750846999683137874e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.419999999999999751e+01 9.848671043186399965e-01 4.106762844087958296e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.429999999999999716e+01 9.865559547492199766e-01 4.947399905038408693e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.439999999999999680e+01 9.876732398811355340e-01 5.735650912536444102e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.449999999999999645e+01 9.880292217734298887e-01 6.520963089460408112e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.459999999999999609e+01 9.874975237095692249e-01 7.659659881137384496e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.469999999999999574e+01 9.857910637315168145e-01 8.593422120340022535e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.479999999999999538e+01 9.837400533653031243e-01 9.997082462514891854e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.489999999999999503e+01 9.809264536859938488e-01 1.112486601221931645e-02
0.000000000000000000e+00 9.000000000000000000e+00 1.499999999999999467e+01 9.777840885833845030e-01 1.180642203611560748e-02
0.000000000000000000e+00 9.000000000000000000e+00 1.509999999999999432e+01 9.748807888386119558e-01 1.356496404462221098e-02
0.000000000000000000e+00 9.000000000000000000e+00 1.519999999999999396e+01 9.720394716253307754e-01 1.458904571423165313e-02
0.000000000000000000e+00 9.199999999999999289e+00 1.350000000000000000e+01 9.506001745101324563e-01 5.470720472532446428e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.359999999999999964e+01 9.561417722326959190e-01 4.869324344432122108e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.369999999999999929e+01 9.611277224338193870e-01 4.306292766009614005e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.379999999999999893e+01 9.656093309058300100e-01 3.788019741427779957e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.389999999999999858e+01 9.695766450580891593e-01 3.674493086151345202e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.399999999999999822e+01 9.731178442830583641e-01 3.656905453599552241e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.409999999999999787e+01 9.760939119125534580e-01 3.865070496264149096e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.419999999999999751e+01 9.787761147839886267e-01 4.236545476355518813e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.429999999999999716e+01 9.808508476060263659e-01 4.844503773750792608e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.439999999999999680e+01 9.823596559065634892e-01 5.644217696679693953e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.449999999999999645e+01 9.831121266466211761e-01 6.454044841959142957e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.459999999999999609e+01 9.829793370265729191e-01 7.336634712269109876e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.469999999999999574e+01 9.816803984404023353e-01 8.540736076113960781e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.479999999999999538e+01 9.800300280905687167e-01 9.448934369687748275e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.489999999999999503e+01 9.776236215994038581e-01 1.067296701627204990e-02
0.000000000000000000e+00 9.199999999999999289e+00 1.499999999999999467e+01 9.748898763558958569e-01 1.165649775014417945e-02
0.000000000000000000e+00 9.199999999999999289e+00 1.509999999999999432e+01 9.723866907819339600e-01 1.323662999299446939e-02
0.000000000000000000e+00 9.199999999999999289e+00 1.519999999999999396e+01 9.699449111366247323e-01 1.425401210905210235e-02
0.000000000000000000e+00 9.400000000000000355e+00 1.350000000000000000e+01 9.481111722117306906e-01 5.660940047461569986e-03
