# Redshift log10(MStarSat_Threshold)[msun] log10(M200c)[msun] mean_velbias stddev_velbias
0.000000000000000000e+00 9.000000000000000000e+00 1.350000000000000000e+01 9.318924462512899742e-01 3.934260431029737264e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.359999999999999964e+01 9.409158997485068676e-01 3.804436998330394930e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.369999999999999929e+01 9.493582949710258623e-01 3.656837993321093369e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.379999999999999893e+01 9.568971936669218303e-01 3.486285272750371759e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.389999999999999858e+01 9.638169255557187398e-01 3.280708554593324625e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.399999999999999822e+01 9.701010569220204216e-01 3.296269157623045367e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.409999999999999787e+01 9.759752566035048149e-01 3.302698232919132511e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.419999999999999751e+01 9.816331341179598269e-01 3.499065026467682634e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.429999999999999716e+01 9.865251564256077854e-01 3.414383263545695251e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.439999999999999680e+01 9.910670743701913699e-01 3.433190809859296404e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.449999999999999645e+01 9.955291813664657319e-01 3.341081442649171743e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.459999999999999609e+01 9.995764376942157803e-01 3.443060477945479158e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.469999999999999574e+01 1.003646251838689052e+00 3.498078660599612290e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.479999999999999538e+01 1.007590853911060957e+00 3.667606482952077106e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.489999999999999503e+01 1.011749403420658000e+00 3.972546956873670120e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.499999999999999467e+01 1.015319787455578160e+00 4.304341905811050022e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.509999999999999432e+01 1.018477583180592783e+00 4.594570733017936358e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.519999999999999396e+01 1.020488493326123125e+00 5.113521442153168457e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.529999999999999361e+01 1.020977759330934820e+00 6.047280288756047215e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.539999999999999325e+01 1.020092248978210492e+00 7.955855521140533029e-03
0.000000000000000000e+00 9.000000000000000000e+00 1.549999999999999289e+01 1.016844462698850649e+00 1.086250099321952808e-02
0.000000000000000000e+00 9.000000000000000000e+00 1.559999999999999254e+01 1.014470325272873286e+00 1.446267263771593495e-02
0.000000000000000000e+00 9.199999999999999289e+00 1.350000000000000000e+01 9.319850193018122120e-01 3.993305061536388777e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.359999999999999964e+01 9.410178431144985423e-01 3.875624783401517091e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.369999999999999929e+01 9.494693412604655602e-01 3.647281206798355831e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.379999999999999893e+01 9.570180124886837891e-01 3.558991631859343991e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.389999999999999858e+01 9.639472407947746735e-01 3.351966943062079877e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.399999999999999822e+01 9.702405512831892009e-01 3.258733174831507113e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.409999999999999787e+01 9.761245251890576791e-01 3.316804343519094266e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.419999999999999751e+01 9.817915823679911336e-01 3.372536161651719117e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.429999999999999716e+01 9.866942010093019411e-01 3.558720270212737628e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.439999999999999680e+01 9.912456874722483935e-01 3.549254986535538541e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.449999999999999645e+01 9.957168888817884422e-01 3.272308786710898931e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.459999999999999609e+01 9.997734582175555884e-01 3.249540657346232549e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.469999999999999574e+01 1.003853274815599717e+00 3.365778836710099468e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.479999999999999538e+01 1.007807375324975885e+00 3.437941473205911001e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.489999999999999503e+01 1.011975605218448537e+00 3.681646180175190963e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.499999999999999467e+01 1.015555834810427882e+00 4.019029802531296977e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.509999999999999432e+01 1.018723567493488469e+00 4.342850300676982106e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.519999999999999396e+01 1.020744066084945390e+00 4.875462798779870051e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.529999999999999361e+01 1.021242404612124011e+00 5.811185275519928882e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.539999999999999325e+01 1.020366123888543308e+00 7.817343785636636511e-03
0.000000000000000000e+00 9.199999999999999289e+00 1.549999999999999289e+01 1.017129182714259450e+00 1.100752064557331857e-02
0.000000000000000000e+00 9.199999999999999289e+00 1.559999999999999254e+01 1.014754721977099594e+00 1.394912347862042358e-02
0.000000000000000000e+00 9.400000000000000355e+00 1.350000000000000000e+01 9.317614643005245334e-01 4.062587876751683723e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.359999999999999964e+01 9.407279223218161235e-01 3.959890033280326176e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.369999999999999929e+01 9.491116983487539738e-01 3.662266812804953944e-03
0.000000000000000000e+00 9.400000000000000355e+00 1.379999999999999893e+01 9.565917106717585217e-01 3.443776522485078595e-03
